A1BG        P04217
FAM153B     P0C7A2
FAM155A     B1AL88
FAM155B     O75949
FAM156A     Q8NDB6
FAM156B     Q8NDB6
FAM159A     Q6UWV7
FAM159B     A6NKW6
FAM160A1    Q05DH4
FAM160A2    Q8N612
FAM160B1    Q5W0V3
FAM160B2    Q86V87
FAM161A     Q3B820
FAM161B     Q96MY7
FAM162A     Q96A26
FAM162B     Q5T6X4
FAM163A     Q96GL9
FAM163B     P0C2L3
FAM166A     Q6J272
FAM166B     A8MTA8
FAM167A     Q96KS9
FAM167B     Q9BTA0
FAM168A     Q92567
FAM168B     A1KXE4
FAM169A     Q9Y6X4
FAM169B     Q8N8A8
FAM170A     A1A519
FAM170B     A6NMN3
FAM171A1    Q5VUB5
FAM171A2    A8MVW0
FAM171B     Q6P995
FAM172A     Q8WUF8
FAM173A     Q9BQD7
FAM173B     Q6P4H8
FAM174A     Q8TBP5
FAM174B     Q3ZCQ3
FAM177A1    Q8N128
FAM177B     A6PVY3
FAM178B     Q8IXR5
FAM180A     Q6UWF9
FAM180B     Q6P0A1
FAM181A     Q8N9Y4
FAM181B     A6NEQ2
FAM183A     A6NL82
FAM184A     Q8NB25
FAM184B     Q9ULE4
FAM185A     Q8N0U4
FAM186A     A6NE01
FAM186B     Q8IYM0
FAM187A     A6NFU0
FAM187B     Q17R55
FAM189A1    O60320
FAM189A2    Q15884
FAM189B     P81408
FAM192A     Q9GZU8
FAM193A     P78312
FAM193B     Q96PV7
FAM196A     Q6ZSG2
FAM196B     A6NMK8
FAM198A     Q9UFP1
FAM198B     Q6UWH4
FAM199X     Q6PEV8
FAM200A     Q8TCP9
FAM200B     P0CF97
FAM204A     Q9H8W3
FAM205A     Q6ZU69
FAM205C     A6NFA0
FAM206A     Q9NX38
FAM207A     Q9NSI2
FAM208A     Q9UK61
FAM208B     Q5VWN6
FAM209A     Q5JX71
FAM209B     Q5JX69
FAM210A     Q96ND0
FAM210B     Q96KR6
FAM212A     Q96EL1
FAM212B     Q9NTI7
FAM213A     Q9BRX8
FAM213B     Q8TBF2
FAM214A     Q32MH5
FAM214B     Q7L5A3
FAM216A     Q8WUB2
FAM216B     Q8N7L0
FAM217A     Q8IXS0
FAM217B     Q9NTX9
FAM218A     Q96MZ4
FAM219A     Q8IW50
FAM219B     Q5XKK7
FAM220A     Q7Z4H9
FAM221A     A4D161
FAM221B     A6H8Z2
FAM222A     Q5U5X8
FAM222B     Q8WU58
FAM227A     F5H4B4
FAM227B     Q96M60
FAM228A     Q86W67
FAM228B     P0C875
FAM229A     H3BQW9
FAM229B     Q4G0N7
FAM231A     P0DMU4
FAM231B     A6NCW3
FAM231C     P0DMU5
FAM231D     Q6ZW35
FAM234A     Q9H0X4
FAM234B     A2RU67
FAM236A     A0A1B0GUQ0
FAM236B     A0A1B0GV22
FAN1        Q9Y2M0
FANCA       O15360
FANCB       Q8NB91
FANCC       Q00597
FANCD2      Q9BXW9
FANCD2OS    Q96PS1
FANCE       Q9HB96
FANCF       Q9NPI8
FANCG       O15287
FANCI       Q9NVI1
FANCL       Q9NW38
FANCM       Q8IYD8
FANK1       Q8TC84
FAP         Q12884
FAR1        Q8WVX9
FAR2        Q96K12
FARP1       Q9Y4F1
FARP2       O94887
FARS2       O95363
FARSA       Q9Y285
FARSB       Q9NSD9
FAS         P25445
FASLG       P48023
FASN        P49327
FASTK       Q14296
FASTKD1     Q53R41
FASTKD2     Q9NYY8
FASTKD3     Q14CZ7
FASTKD5     Q7L8L6
FAT1        Q14517
FAT2        Q9NYQ8
FAT3        Q8TDW7
FAT4        Q6V0I7
FATE1       Q969F0
FAXC        Q5TGI0
FAXDC2      Q96IV6
FBF1        Q8TES7
FBL         P22087
FBLIM1      Q8WUP2
FBLN1       P23142
FBLN2       P98095
FBLN5       Q9UBX5
FBLN7       Q53RD9
FBN1        P35555
FBN2        P35556
FBN3        Q75N90
FBP1        P09467
FBP2        O00757
FBRS        Q9HAH7
FBRSL1      Q9HCM7
FBXL2       Q9UKC9
FBXL3       Q9UKT7
FBXL4       Q9UKA2
FBXL5       Q9UKA1
FBXL6       Q8N531
FBXL7       Q9UJT9
FBXL8       Q96CD0
FBXL12      Q9NXK8
FBXL13      Q8NEE6
FBXL14      Q8N1E6
FBXL15      Q9H469
FBXL16      Q8N461
FBXL17      Q9UF56
FBXL18      Q96ME1
FBXL19      Q6PCT2
FBXL20      Q96IG2
FBXL21      Q9UKT6
FBXL22      Q6P050
FBXO2       Q9UK22
FBXO3       Q9UK99
FBXO4       Q9UKT5
FBXO5       Q9UKT4
FBXO6       Q9NRD1
FBXO7       Q9Y3I1
FBXO8       Q9NRD0
FBXO9       Q9UK97
FBXO10      Q9UK96
FBXO11      Q86XK2
FBXO15      Q8NCQ5
FBXO16      Q8IX29
FBXO17      Q96EF6
FBXO18      Q8NFZ0
FBXO21      O94952
FBXO22      Q8NEZ5
FBXO24      O75426
FBXO25      Q8TCJ0
FBXO27      Q8NI29
FBXO28      Q9NVF7
FBXO30      Q8TB52
FBXO31      Q5XUX0
FBXO32      Q969P5
FBXO33      Q7Z6M2
FBXO34      Q9NWN3
FBXO36      Q8NEA4
FBXO38      Q6PIJ6
FBXO39      Q8N4B4
FBXO40      Q9UH90
FBXO41      Q8TF61
FBXO42      Q6P3S6
FBXO43      Q4G163
FBXO44      Q9H4M3
FBXO45      P0C2W1
FBXO46      Q6PJ61
FBXO47      Q5MNV8
FBXO48      Q5FWF7
FBXW2       Q9UKT8
FBXW4       P57775
FBXW5       Q969U6
FBXW7       Q969H0
FBXW8       Q8N3Y1
FBXW9       Q5XUX1
FBXW10      Q5XX13
FBXW11      Q9UKB1
FBXW12      Q6X9E4
FCAMR       Q8WWV6
FCAR        P24071
FCER1A      P12319
FCER1G      P30273
FCER2       P06734
FCF1        Q9Y324
FCGBP       Q9Y6R7
FCGR1A      P12314
FCGR1B      Q92637
FCGR2A      P12318
FCGR2B      P31994
FCGR2C      P31995
FCGR3A      P08637
FCGR3B      O75015
FCGRT       P55899
FCHO1       O14526
FCHO2       Q0JRZ9
FCHSD1      Q86WN1
FCHSD2      O94868
FCMR        O60667
FCN1        O00602
FCN2        Q15485
FCN3        O75636
FCRL1       Q96LA6
FCRL2       Q96LA5
FCRL3       Q96P31
FCRL4       Q96PJ5
FCRL5       Q96RD9
FCRL6       Q6DN72
FCRLA       Q7L513
FCRLB       Q6BAA4
FDCSP       Q8NFU4
FDFT1       P37268
FDPS        P14324
FDX1        P10109
FDX2        Q6P4F2
FDXACB1     Q9BRP7
FDXR        P22570
FECH        P22830
FEM1A       Q9BSK4
FEM1B       Q9UK73
FEM1C       Q96JP0
FEN1        P39748
FER         P16591
FER1L5      A0AVI2
FER1L6      Q2WGJ9
FERD3L      Q96RJ6
FERMT1      Q9BQL6
FERMT2      Q96AC1
FERMT3      Q86UX7
FES         P07332
FETUB       Q9UGM5
FEV         Q99581
FEZ1        Q99689
FEZ2        Q9UHY8
FEZF1       A0PJY2
FEZF2       Q8TBJ5
FFAR1       O14842
FFAR2       O15552
FFAR3       O14843
FFAR4       Q5NUL3
FGA         P02671
FGB         P02675
FGD1        P98174
FGD2        Q7Z6J4
FGD3        Q5JSP0
FGD4        Q96M96
FGD5        Q6ZNL6
FGD6        Q6ZV73
FGF1        P05230
FGF2        P09038
FGF3        P11487
FGF4        P08620
FGF5        P12034
FGF6        P10767
FGF7        P21781
FGF8        P55075
FGF9        P31371
FGF10       O15520
FGF11       Q92914
FGF12       P61328
FGF13       Q92913
FGF14       Q92915
FGF16       O43320
FGF17       O60258
FGF18       O76093
FGF19       O95750
FGF20       Q9NP95
FGF21       Q9NSA1
FGF22       Q9HCT0
FGF23       Q9GZV9
FGFBP1      Q14512
FGFBP2      Q9BYJ0
FGFBP3      Q8TAT2
FGFR1       P11362
FGFR1OP     O95684
FGFR1OP2    Q9NVK5
FGFR2       P21802
FGFR3       P22607
FGFR4       P22455
FGFRL1      Q8N441
FGG         P02679
FGGY        Q96C11
FGL1        Q08830
FGL2        Q14314
FGR         P09769
FH          P07954
FHAD1       B1AJZ9
FHDC1       Q9C0D6
FHIT        P49789
FHL1        Q13642
FHL2        Q14192
FHL3        Q13643
FHL5        Q5TD97
FHOD1       Q9Y613
FHOD3       Q2V2M9
FIBCD1      Q8N539
FIBIN       Q8TAL6
FIBP        O43427
FICD        Q9BVA6
FIG4        Q92562
FIGLA       Q6QHK4
FIGN        Q5HY92
FIGNL1      Q6PIW4
FILIP1      Q7Z7B0
FILIP1L     Q4L180
FIP1L1      Q6UN15
FIS1        Q9Y3D6
FITM1       A5D6W6
FITM2       Q8N6M3
FIZ1        Q96SL8
FJX1        Q86VR8
FKBP1A      P62942
FKBP1B      P68106
FKBP2       P26885
FKBP3       Q00688
FKBP4       Q02790
FKBP5       Q13451
FKBP6       O75344
FKBP7       Q9Y680
FKBP8       Q14318
FKBP9       O95302
FKBP10      Q96AY3
FKBP11      Q9NYL4
FKBP14      Q9NWM8
FKBP15      Q5T1M5
FKBPL       Q9UIM3
FKRP        Q9H9S5
FKTN        O75072
FLAD1       Q8NFF5
FLCN        Q8NFG4
FLG         P20930
FLG2        Q5D862
FLI1        Q01543
FLII        Q13045
FLNA        P21333
FLNB        O75369
FLNC        Q14315
FLOT1       O75955
FLOT2       Q14254
FLRT1       Q9NZU1
FLRT2       O43155
FLRT3       Q9NZU0
FLT1        P17948
FLT3        P36888
FLT3LG      P49771
FLT4        P35916
FLVCR1      Q9Y5Y0
FLVCR2      Q9UPI3
FLYWCH1     Q4VC44
FLYWCH2     Q96CP2
FMC1        Q96HJ9
FMN1        Q68DA7
FMN2        Q9NZ56
FMNL1       O95466
FMNL2       Q96PY5
FMNL3       Q8IVF7
FMO1        Q01740
FMO2        Q99518
FMO3        P31513
FMO4        P31512
FMO5        P49326
FMOD        Q06828
FMR1        Q06787
FMR1NB      Q8N0W7
FN1         P02751
FN3K        Q9H479
FN3KRP      Q9HA64
FNBP1       Q96RU3
FNBP1L      Q5T0N5
FNBP4       Q8N3X1
FNDC1       Q4ZHG4
FNDC3A      Q9Y2H6
FNDC3B      Q53EP0
FNDC4       Q9H6D8
FNDC5       Q8NAU1
FNDC7       Q5VTL7
FNDC8       Q8TC99
FNDC9       Q8TBE3
FNDC10      F2Z333
FNDC11      Q9BVV2
FNIP1       Q8TF40
FNIP2       Q9P278
FNTA        P49354
FNTB        P49356
FOCAD       Q5VW36
FOLH1       Q04609
FOLR1       P15328
FOLR2       P14207
FOLR3       P41439
FOPNL       Q96NB1
FOS         P01100
FOSB        P53539
FOSL1       P15407
FOSL2       P15408
FOXA1       P55317
FOXA2       Q9Y261
FOXA3       P55318
FOXB1       Q99853
FOXB2       Q5VYV0
FOXC1       Q12948
FOXC2       Q99958
FOXD1       Q16676
FOXD2       O60548
FOXD3       Q9UJU5
FOXD4       Q12950
FOXD4L1     Q9NU39
FOXD4L3     Q6VB84
FOXD4L4     Q8WXT5
FOXD4L5     Q5VV16
FOXD4L6     Q3SYB3
FOXE1       O00358
FOXE3       Q13461
FOXF1       Q12946
FOXF2       Q12947
FOXG1       P55316
FOXH1       O75593
FOXI1       Q12951
FOXI2       Q6ZQN5
FOXI3       A8MTJ6
FOXJ1       Q92949
FOXJ2       Q9P0K8
FOXJ3       Q9UPW0
FOXK1       P85037
FOXK2       Q01167
FOXL1       Q12952
FOXL2       P58012
FOXL2NB     Q6ZUU3
FOXM1       Q08050
FOXN1       O15353
FOXN2       P32314
FOXN3       O00409
FOXN4       Q96NZ1
FOXO1       Q12778
FOXO3       O43524
FOXO4       P98177
FOXO6       A8MYZ6
FOXP1       Q9H334
FOXP2       O15409
FOXP3       Q9BZS1
FOXP4       Q8IVH2
FOXQ1       Q9C009
FOXR1       Q6PIV2
FOXR2       Q6PJQ5
FOXRED1     Q96CU9
FOXRED2     Q8IWF2
FOXS1       O43638
FPGS        Q05932
FPGT        O14772
FPR1        P21462
FPR2        P25090
FPR3        P25089
FRA10AC1    Q70Z53
FRAS1       Q86XX4
FRAT1       Q92837
FRAT2       O75474
FREM1       Q5H8C1
FREM2       Q5SZK8
FREM3       P0C091
FRG1        Q14331
FRG2        Q64ET8
FRG2B       Q96QU4
FRG2C       A6NGY1
FRK         P42685
FRMD1       Q8N878
FRMD3       A2A2Y4
FRMD4A      Q9P2Q2
FRMD4B      Q9Y2L6
FRMD5       Q7Z6J6
FRMD6       Q96NE9
FRMD7       Q6ZUT3
FRMD8       Q9BZ67
FRMPD1      Q5SYB0
FRMPD2      Q68DX3
FRMPD3      Q5JV73
FRMPD4      Q14CM0
FRRS1       Q6ZNA5
FRRS1L      Q9P0K9
FRS2        Q8WU20
FRS3        O43559
FRY         Q5TBA9
FRYL        O94915
FRZB        Q92765
FSBP        O95073
FSCB        Q5H9T9
FSCN1       Q16658
FSCN2       O14926
FSCN3       Q9NQT6
FSD1        Q9BTV5
FSD1L       Q9BXM9
FSD2        A1L4K1
FSHB        P01225
FSHR        P23945
FSIP1       Q8NA03
FSIP2       Q5CZC0
FST         P19883
FSTL1       Q12841
FSTL3       O95633
FSTL4       Q6MZW2
FSTL5       Q8N475
FTCD        O95954
FTH1        P02794
FTHL17      Q9BXU8
FTL         P02792
FTMT        Q8N4E7
FTO         Q9C0B1
FTSJ1       Q9UET6
FTSJ3       Q8IY81
FUBP1       Q96AE4
FUBP3       Q96I24
FUCA1       P04066
FUCA2       Q9BTY2
FUK         Q8N0W3
FUNDC1      Q8IVP5
FUNDC2      Q9BWH2
FUOM        A2VDF0
FURIN       P09958
FUS         P35637
FUT1        P19526
FUT2        Q10981
FUT3        P21217
FUT4        P22083
FUT5        Q11128
FUT6        P51993
FUT7        Q11130
FUT8        Q9BYC5
FUT9        Q9Y231
FUT10       Q6P4F1
FUT11       Q495W5
FUZ         Q9BT04
FXN         Q16595
FXR1        P51114
FXR2        P51116
FXYD1       O00168
FXYD2       P54710
FXYD3       Q14802
FXYD4       P59646
FXYD5       Q96DB9
FXYD6       Q9H0Q3
FXYD7       P58549
FYB1        O15117
FYB2        Q5VWT5
FYCO1       Q9BQS8
FYN         P06241
FYTTD1      Q96QD9
FZD1        Q9UP38
FZD2        Q14332
FZD3        Q9NPG1
FZD4        Q9ULV1
FZD5        Q13467
FZD6        O60353
FZD7        O75084
FZD8        Q9H461
FZD9        O00144
FZD10       Q9ULW2
FZR1        Q9UM11
G2E3        Q7L622
G3BP1       Q13283
G3BP2       Q9UN86
G6PC        P35575
G6PC2       Q9NQR9
G6PC3       Q9BUM1
G6PD        P11413
GAA         P10253
GAB1        Q13480
GAB2        Q9UQC2
GAB3        Q8WWW8
GAB4        Q2WGN9
GABARAP     O95166
GABARAPL1   Q9H0R8
GABARAPL2   P60520
GABBR1      Q9UBS5
GABBR2      O75899
GABPA       Q06546
GABPB1      Q06547
GABPB2      Q8TAK5
GABRA1      P14867
GABRA2      P47869
GABRA3      P34903
GABRA4      P48169
GABRA5      P31644
GABRA6      Q16445
GABRB1      P18505
GABRB2      P47870
GABRB3      P28472
GABRD       O14764
GABRE       P78334
GABRG1      Q8N1C3
GABRG2      P18507
GABRG3      Q99928
GABRP       O00591
GABRQ       Q9UN88
GABRR1      P24046
GABRR2      P28476
GABRR3      A8MPY1
GAD1        Q99259
GAD2        Q05329
GADD45A     P24522
GADD45B     O75293
GADD45G     O95257
GADD45GIP1  Q8TAE8
GADL1       Q6ZQY3
GAGE1       Q13065
GAGE2A      Q6NT46
GAGE2B      Q13066
GAGE2C      Q13066
GAGE2D      Q9UEU5
GAGE2E      Q4V326
GAGE10      A6NGK3
GAGE12B     A1L429
GAGE12C     A1L429
GAGE12D     A1L429
GAGE12E     A1L429
GAGE12F     P0CL80
GAGE12G     P0CL81
GAGE12H     A6NDE8
GAGE12I     P0CL82
GAGE12J     A6NER3
GAGE13      Q4V321
GAK         O14976
GAL         P22466
GAL3ST1     Q99999
GAL3ST2     Q9H3Q3
GAL3ST3     Q96A11
GAL3ST4     Q96RP7
GALC        P54803
GALE        Q14376
GALK1       P51570
GALK2       Q01415
GALM        Q96C23
GALNS       P34059
GALNT1      Q10472
GALNT2      Q10471
GALNT3      Q14435
GALNT4      Q8N4A0
GALNT5      Q7Z7M9
GALNT6      Q8NCL4
GALNT7      Q86SF2
GALNT8      Q9NY28
GALNT9      Q9HCQ5
GALNT10     Q86SR1
GALNT11     Q8NCW6
GALNT12     Q8IXK2
GALNT13     Q8IUC8
GALNT14     Q96FL9
GALNT15     Q8N3T1
GALNT16     Q8N428
GALNT17     Q6IS24
GALNT18     Q6P9A2
GALNTL5     Q7Z4T8
GALNTL6     Q49A17
GALP        Q9UBC7
GALR1       P47211
GALR2       O43603
GALR3       O60755
GALT        P07902
GAMT        Q14353
GAN         Q9H2C0
GANAB       Q14697
GANC        Q8TET4
GAP43       P17677
GAPDH       P04406
GAPDHS      O14556
GAPT        Q8N292
GAPVD1      Q14C86
GAR1        Q9NY12
GAREM1      Q9H706
GAREM2      Q75VX8
GARNL3      Q5VVW2
GARS        P41250
GART        P22102
GAS1        P54826
GAS2        O43903
GAS2L1      Q99501
GAS2L2      Q8NHY3
GAS2L3      Q86XJ1
GAS6        Q14393
GAS7        O60861
GAS8        O95995
GAST        P01350
GATA1       P15976
GATA2       P23769
GATA3       P23771
GATA4       P43694
GATA5       Q9BWX5
GATA6       Q92908
GATAD1      Q8WUU5
GATAD2A     Q86YP4
GATAD2B     Q8WXI9
GATB        O75879
GATC        O43716
GATD1       Q8NB37
GATM        P50440
GATS        Q8NAP1
GBA         P04062
GBA2        Q9HCG7
GBA3        Q9H227
GBE1        Q04446
GBF1        Q92538
GBGT1       Q8N5D6
GBP1        P32455
GBP2        P32456
GBP3        Q9H0R5
GBP4        Q96PP9
GBP5        Q96PP8
GBP6        Q6ZN66
GBP7        Q8N8V2
GBX1        Q14549
GBX2        P52951
GC          P02774
GCA         P28676
GCAT        O75600
GCC1        Q96CN9
GCC2        Q8IWJ2
GCDH        Q92947
GCFC2       P16383
GCG         P01275
GCGR        P47871
GCH1        P30793
GCHFR       P30047
GCK         P35557
GCKR        Q14397
GCLC        P48506
GCLM        P48507
GCM1        Q9NP62
GCM2        O75603
GCN1        Q92616
GCNA        Q96QF7
GCNT1       Q02742
GCNT2       Q8N0V5
GCNT3       O95395
GCNT4       Q9P109
GCNT6       Q5T4J0
GCNT7       Q6ZNI0
GCSAM       Q8N6F7
GCSAML      Q5JQS6
GCSH        P23434
GDA         Q9Y2T3
GDAP1       Q8TB36
GDAP1L1     Q96MZ0
GDAP2       Q9NXN4
GDE1        Q9NZC3
GDF1        P27539
GDF2        Q9UK05
GDF3        Q9NR23
GDF5        P43026
GDF6        Q6KF10
GDF7        Q7Z4P5
GDF9        O60383
GDF10       P55107
GDF11       O95390
GDF15       Q99988
GDI1        P31150
GDI2        P50395
GDNF        P39905
GDPD1       Q8N9F7
GDPD2       Q9HCC8
GDPD3       Q7L5L3
GDPD4       Q6W3E5
GDPD5       Q8WTR4
GDPGP1      Q6ZNW5
GEM         P55040
GEMIN2      O14893
GEMIN4      P57678
GEMIN5      Q8TEQ6
GEMIN6      Q8WXD5
GEMIN7      Q9H840
GEMIN8      Q9NWZ8
GEN1        Q17RS7
GET4        Q7L5D6
GFAP        P14136
GFER        P55789
GFI1        Q99684
GFI1B       Q5VTD9
GFM1        Q96RP9
GFM2        Q969S9
GFOD1       Q9NXC2
GFOD2       Q3B7J2
GFPT1       Q06210
GFPT2       O94808
GFRA1       P56159
GFRA2       O00451
GFRA3       O60609
GFRA4       Q9GZZ7
GFRAL       Q6UXV0
GFY         I3L273
GGA1        Q9UJY5
GGA2        Q9UJY4
GGA3        Q9NZ52
GGACT       Q9BVM4
GGCT        O75223
GGCX        P38435
GGH         Q92820
GGN         Q86UU5
GGNBP2      Q9H3C7
GGPS1       O95749
GGT1        P19440
GGT2        P36268
GGT5        P36269
GGT6        Q6P531
GGT7        Q9UJ14
GGTLC1      Q9BX51
GGTLC2      Q14390
GH1         P01241
GH2         P01242
GHDC        Q8N2G8
GHITM       Q9H3K2
GHR         P10912
GHRH        P01286
GHRHR       Q02643
GHRL        Q9UBU3
GHSR        Q92847
GID4        Q8IVV7
GID8        Q9NWU2
GIF         P27352
GIGYF1      O75420
GIGYF2      Q6Y7W6
GIMAP1      Q8WWP7
GIMAP2      Q9UG22
GIMAP4      Q9NUV9
GIMAP5      Q96F15
GIMAP6      Q6P9H5
GIMAP7      Q8NHV1
GIMAP8      Q8ND71
GIMD1       P0DJR0
GIN1        Q9NXP7
GINM1       Q9NU53
GINS1       Q14691
GINS2       Q9Y248
GINS3       Q9BRX5
GINS4       Q9BRT9
GIP         P09681
GIPC1       O14908
GIPC2       Q8TF65
GIPC3       Q8TF64
GIPR        P48546
GIT1        Q9Y2X7
GIT2        Q14161
GJA1        P17302
GJA3        Q9Y6H8
GJA4        P35212
GJA5        P36382
GJA8        P48165
GJA9        P57773
GJA10       Q969M2
GJB1        P08034
GJB2        P29033
GJB3        O75712
GJB4        Q9NTQ9
GJB5        O95377
GJB6        O95452
GJB7        Q6PEY0
GJC1        P36383
GJC2        Q5T442
GJC3        Q8NFK1
GJD2        Q9UKL4
GJD3        Q8N144
GJD4        Q96KN9
GK          P32189
GK2         Q14410
GK5         Q6ZS86
GKAP1       Q5VSY0
GKN1        Q9NS71
GKN2        Q86XP6
GLA         P06280
GLB1        P16278
GLB1L       Q6UWU2
GLB1L2      Q8IW92
GLB1L3      Q8NCI6
GLCCI1      Q86VQ1
GLCE        O94923
GLDC        P23378
GLDN        Q6ZMI3
GLE1        Q53GS7
GLG1        Q92896
GLI1        P08151
GLI2        P10070
GLI3        P10071
GLI4        P10075
GLIPR1      P48060
GLIPR1L1    Q6UWM5
GLIPR1L2    Q4G1C9
GLIPR2      Q9H4G4
GLIS1       Q8NBF1
GLIS2       Q9BZE0
GLIS3       Q8NEA6
GLMN        Q92990
GLMP        Q8WWB7
GLO1        Q04760
GLOD4       Q9HC38
GLOD5       A6NK44
GLP1R       P43220
GLP2R       O95838
GLRA1       P23415
GLRA2       P23416
GLRA3       O75311
GLRA4       Q5JXX5
GLRB        P48167
GLRX        P35754
GLRX2       Q9NS18
GLRX3       O76003
GLRX5       Q86SX6
GLS         O94925
GLS2        Q9UI32
GLT1D1      Q96MS3
GLT6D1      Q7Z4J2
GLT8D1      Q68CQ7
GLT8D2      Q9H1C3
GLTP        Q9NZD2
GLTPD2      A6NH11
GLUD1       P00367
GLUD2       P49448
GLUL        P15104
GLYAT       Q6IB77
GLYATL1     Q969I3
GLYATL2     Q8WU03
GLYATL3     Q5SZD4
GLYCTK      Q8IVS8
GLYR1       Q49A26
GM2A        P17900
GMCL1       Q96IK5
GMDS        O60547
GMEB1       Q9Y692
GMEB2       Q9UKD1
GMFB        P60983
GMFG        O60234
GMIP        Q9P107
GML         Q99445
GMNC        A6NCL1
GMNN        O75496
GMPPA       Q96IJ6
GMPPB       Q9Y5P6
GMPR        P36959
GMPR2       Q9P2T1
GMPS        P49915
GNA11       P29992
GNA12       Q03113
GNA13       Q14344
GNA14       O95837
GNA15       P30679
GNAI1       P63096
GNAI2       P04899
GNAI3       P08754
GNAL        P38405
GNAO1       P09471
GNAQ        P50148
GNAT1       P11488
GNAT2       P19087
GNAT3       A8MTJ3
GNAZ        P19086
GNB1        P62873
GNB1L       Q9BYB4
GNB2        P62879
GNB3        P16520
GNB4        Q9HAV0
GNB5        O14775
GNE         Q9Y223
GNG2        P59768
GNG3        P63215
GNG4        P50150
GNG5        P63218
GNG7        O60262
GNG8        Q9UK08
GNG10       P50151
GNG11       P61952
GNG12       Q9UBI6
GNG13       Q9P2W3
GNGT1       P63211
GNGT2       O14610
GNL1        P36915
GNL2        Q13823
GNL3        Q9BVP2
GNL3L       Q9NVN8
GNLY        P22749
GNMT        Q14749
GNPAT       O15228
GNPDA1      P46926
GNPDA2      Q8TDQ7
GNPNAT1     Q96EK6
GNPTAB      Q3T906
GNPTG       Q9UJJ9
GNRH1       P01148
GNRH2       O43555
GNRHR       P30968
GNS         P15586
GOLGA1      Q92805
GOLGA2      Q08379
GOLGA3      Q08378
GOLGA4      Q13439
GOLGA5      Q8TBA6
GOLGA6A     Q9NYA3
GOLGA6B     A6NDN3
GOLGA6C     A6NDK9
GOLGA6D     P0CG33
GOLGA6L1    Q8N7Z2
GOLGA6L2    Q8N9W4
GOLGA6L4    A6NEF3
GOLGA6L6    A8MZA4
GOLGA6L9    A6NEM1
GOLGA6L10   A6NI86
GOLGA6L22   H0YM25
GOLGA7      Q7Z5G4
GOLGA7B     Q2TAP0
GOLGA8A     A7E2F4
GOLGA8B     A8MQT2
GOLGA8H     P0CJ92
GOLGA8J     A6NMD2
GOLGA8K     D6RF30
GOLGA8M     H3BSY2
GOLGA8N     F8WBI6
GOLGA8O     A6NCC3
GOLGA8R     I6L899
GOLGB1      Q14789
GOLIM4      O00461
GOLM1       Q8NBJ4
GOLPH3      Q9H4A6
GOLPH3L     Q9H4A5
GOLT1A      Q6ZVE7
GOLT1B      Q9Y3E0
GON4L       Q3T8J9
GON7        Q9BXV9
GOPC        Q9HD26
GORAB       Q5T7V8
GORASP1     Q9BQQ3
GORASP2     Q9H8Y8
GOSR1       O95249
GOSR2       O14653
GOT1        P17174
GOT1L1      Q8NHS2
GOT2        P00505
GP1BA       P07359
GP1BB       P13224
GP2         P55259
GP5         P40197
GP6         Q9HCN6
GP9         P14770
GPA33       Q99795
GPAA1       O43292
GPALPP1     Q8IXQ4
GPAM        Q9HCL2
GPANK1      O95872
GPAT2       Q6NUI2
GPAT3       Q53EU6
GPAT4       Q86UL3
GPATCH1     Q9BRR8
GPATCH2     Q9NW75
GPATCH2L    Q9NWQ4
GPATCH3     Q96I76
GPATCH4     Q5T3I0
GPATCH8     Q9UKJ3
GPATCH11    Q8N954
GPBAR1      Q8TDU6
GPBP1       Q86WP2
GPBP1L1     Q9HC44
GPC1        P35052
GPC2        Q8N158
GPC3        P51654
GPC4        O75487
GPC5        P78333
GPC6        Q9Y625
GPCPD1      Q9NPB8
GPD1        P21695
GPD1L       Q8N335
GPD2        P43304
GPER1       Q99527
GPHA2       Q96T91
GPHB5       Q86YW7
GPHN        Q9NQX3
GPI         P06744
GPIHBP1     Q8IV16
GPKOW       Q92917
GPLD1       P80108
GPM6A       P51674
GPM6B       Q13491
GPN1        Q9HCN4
GPN2        Q9H9Y4
GPN3        Q9UHW5
GPNMB       Q14956
GPR1        P46091
GPR3        P46089
GPR4        P46093
GPR6        P46095
GPR12       P47775
GPR15       P49685
GPR17       Q13304
GPR18       Q14330
GPR19       Q15760
GPR20       Q99678
GPR21       Q99679
GPR22       Q99680
GPR25       O00155
GPR26       Q8NDV2
GPR27       Q9NS67
GPR31       O00270
GPR32       O75388
GPR33       Q49SQ1
GPR34       Q9UPC5
GPR35       Q9HC97
GPR37       O15354
GPR37L1     O60883
GPR39       O43194
GPR42       O15529
GPR45       Q9Y5Y3
GPR50       Q13585
GPR52       Q9Y2T5
GPR55       Q9Y2T6
GPR61       Q9BZJ8
GPR62       Q9BZJ7
GPR63       Q9BZJ6
GPR65       Q8IYL9
GPR68       Q15743
GPR75       O95800
GPR78       Q96P69
GPR82       Q96P67
GPR83       Q9NYM4
GPR84       Q9NQS5
GPR85       P60893
GPR87       Q9BY21
GPR88       Q9GZN0
GPR89A      B7ZAQ6
GPR89B      P0CG08
GPR101      Q96P66
GPR107      Q5VW38
GPR108      Q9NPR9
GPR119      Q8TDV5
GPR132      Q9UNW8
GPR135      Q8IZ08
GPR137      Q96N19
GPR137B     O60478
GPR137C     Q8N3F9
GPR139      Q6DWJ6
GPR141      Q7Z602
GPR142      Q7Z601
GPR143      P51810
GPR146      Q96CH1
GPR148      Q8TDV2
GPR149      Q86SP6
